ID,Origin_LONG,Origin_LAT,Destination_LONG,Destination_LAT,DIST,DUR,,,,,,
283,-43.886362,-19.623762,-43.886717,-19.65247,0,0,,,,,0,0
284,-43.886362,-19.623762,-43.89113,-19.650488,0,0,,,,,0,0
285,-43.886362,-19.623762,-43.878139,-19.66958,0,0,,,,,0,0
286,-43.886362,-19.623762,-43.891364,-19.672946,0,0,,,,,0,0
287,-43.886362,-19.623762,-43.883149,-19.674229,0,0,,,,,0,0
288,-43.886362,-19.623762,-43.888391,-19.679523,0,0,,,,,0,0
289,-43.886362,-19.623762,-43.906471,-19.652702,0,0,,,,,0,0
290,-43.886362,-19.623762,-43.899851,-19.645832,0,0,,,,,0,0
291,-43.886362,-19.623762,-43.90252,-19.645469,0,0,,,,,0,0
292,-43.886362,-19.623762,-43.906929,-19.652204,0,0,,,,,0,0
293,-43.886362,-19.623762,-43.912985,-19.656827,0,0,,,,,0,0
294,-43.886362,-19.623762,-43.914629,-19.672628,0,0,,,,,0,0
295,-43.886362,-19.623762,-43.917691,-19.651919,0,0,,,,,0,0
296,-43.886362,-19.623762,-43.909459,-19.651335,0,0,,,,,0,0
297,-43.886362,-19.623762,-43.911272,-19.638229,0,0,,,,,0,0
298,-43.886362,-19.623762,-43.903268,-19.637818,0,0,,,,,0,0
299,-43.886362,-19.623762,-43.905692,-19.642052,0,0,,,,,0,0
300,-43.886362,-19.623762,-43.903487,-19.64332,0,0,,,,,0,0
301,-43.886362,-19.623762,-43.893801,-19.630253,0,0,,,,,0,0
302,-43.886362,-19.623762,-43.895888,-19.633426,0,0,,,,,0,0
303,-43.886362,-19.623762,-43.909745,-19.631956,0,0,,,,,0,0
304,-43.886362,-19.623762,-43.919088,-19.634054,0,0,,,,,0,0
305,-43.886362,-19.623762,-43.900854,-19.627733,0,0,,,,,0,0
306,-43.886362,-19.623762,-43.902047,-19.620749,0,0,,,,,0,0
307,-43.886362,-19.623762,-43.909035,-19.625593,0,0,,,,,0,0
308,-43.886362,-19.623762,-43.90726,-19.609734,0,0,,,,,0,0
309,-43.886362,-19.623762,-43.907581,-19.607453,0,0,,,,,0,0
310,-43.886362,-19.623762,-43.910681,-19.597121,0,0,,,,,0,0
311,-43.886362,-19.623762,-43.908365,-19.59731,0,0,,,,,0,0
312,-43.886362,-19.623762,-43.904545,-19.599376,0,0,,,,,0,0
313,-43.886362,-19.623762,-43.905956,-19.602944,0,0,,,,,0,0
314,-43.886362,-19.623762,-43.90425,-19.607577,0,0,,,,,0,0
315,-43.886362,-19.623762,-43.8562,-19.653379,0,0,,,,,0,0
316,-43.886362,-19.623762,-43.855257,-19.664662,0,0,,,,,0,0
317,-43.886362,-19.623762,-43.835004,-19.613325,0,0,,,,,0,0
318,-43.886362,-19.623762,-43.931548,-19.633201,0,0,,,,,0,0
319,-43.886362,-19.623762,-43.902263,-19.589971,0,0,,,,,0,0
320,-43.886362,-19.623762,-43.904758,-19.587131,0,0,,,,,0,0
321,-43.886362,-19.623762,-43.900299,-19.568602,0,0,,,,,0,0
322,-43.886362,-19.623762,-43.91316,-19.648971,0,0,,,,,0,0
323,-43.886362,-19.623762,-43.906578,-19.593924,0,0,,,,,0,0
324,-43.886362,-19.623762,-43.906902,-19.593681,0,0,,,,,0,0
325,-43.886362,-19.623762,-43.905009,-19.592915,0,0,,,,,0,0
326,-43.886362,-19.623762,-43.900847,-19.644364,0,0,,,,,0,0
327,-43.886362,-19.623762,-43.914656,-19.65363,0,0,,,,,0,0
328,-43.886362,-19.623762,-43.910848,-19.654249,0,0,,,,,0,0
329,-43.886362,-19.623762,-43.897169,-19.630133,0,0,,,,,0,0
330,-43.886362,-19.623762,-43.899606,-19.631696,0,0,,,,,0,0
331,-43.886362,-19.623762,-43.893764,-19.670226,0,0,,,,,0,0
332,-43.886362,-19.623762,-43.890554,-19.669517,0,0,,,,,0,0
333,-43.886362,-19.623762,-43.939093,-19.629064,0,0,,,,,0,0
334,-43.886362,-19.623762,-43.919074,-19.648968,0,0,,,,,0,0
335,-43.886362,-19.623762,-43.940653,-19.655266,0,0,,,,,0,0
336,-43.886362,-19.623762,-43.900183,-19.629116,0,0,,,,,0,0
337,-43.886362,-19.623762,-43.897816,-19.628832,0,0,,,,,0,0
338,-43.886362,-19.623762,-43.916045,-19.633432,0,0,,,,,0,0
339,-43.886362,-19.623762,-43.916412,-19.633451,0,0,,,,,0,0
340,-43.886362,-19.623762,-43.913106,-19.628393,0,0,,,,,0,0
341,-43.886362,-19.623762,-43.914878,-19.629806,0,0,,,,,0,0
342,-43.886362,-19.623762,-43.912023,-19.592381,0,0,,,,,0,0
343,-43.886362,-19.623762,-43.911289,-19.592478,0,0,,,,,0,0
344,-43.886362,-19.623762,-43.906783,-19.590823,0,0,,,,,0,0
345,-43.886362,-19.623762,-43.90548,-19.589524,0,0,,,,,0,0
346,-43.886362,-19.623762,-43.907086,-19.598337,0,0,,,,,0,0
