Region	Pop	Flow
M[313760105000237]	411
	L[313760105000253]	329
	L[313760105000253]*	16
	L[SHC1]	61
	L[SHC1]*	3
M[313760105000238]	331
	L[313760105000080]	315
	L[313760105000080]*	15
M[313760105000239]	443
	L[313760105000239]	373
	L[SHC1]	66
	L[SHC1]*	3
M[313760105000240]	240
	L[313760105000239]	180
	L[313760105000239]*	9
	L[SHC1]	36
	L[SHC1]*	1
	L[THC1]	12
	L[THC1]*	0
M[313760105000241]	358
	L[313760105000239]	287
	L[313760105000239]*	14
	L[SHC1]	53
	L[SHC1]*	2
M[313760105000242]	282
	L[313760105000132]	268
	L[313760105000132]*	13
M[313760105000243]	366
	L[313760105000132]	348
	L[313760105000132]*	17
M[313760105000244]	0
M[313760105000245]	111
	L[313760105000002]	83
	L[313760105000002]*	4
	L[SHC1]	16
	L[SHC1]*	0
	L[THC1]	5
	L[THC1]*	0
M[313760105000246]	174
	L[313760105000259]	139
	L[313760105000259]*	6
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000247]	148
	L[313760105000259]	118
	L[313760105000259]*	5
	L[SHC1]	22
	L[SHC1]*	1
M[313760105000248]	320
	L[313760105000076]	304
	L[313760105000076]*	15
M[313760105000249]	177
	L[313760105000076]	142
	L[313760105000076]*	7
	L[SHC1]	26
	L[SHC1]*	1
M[313760105000250]	152
	L[313760105000253]	121
	L[313760105000253]*	6
	L[SHC1]	22
	L[SHC1]*	1
M[313760105000251]	165
	L[313760105000122]	157
	L[313760105000122]*	7
M[313760105000252]	348
	L[313760105000253]	331
	L[313760105000253]*	16
M[313760105000253]	330
	L[313760105000253]	327
	L[SHC1]	2
	L[SHC1]*	0
M[313760105000254]	206
	L[313760105000255]	196
	L[313760105000255]*	9
M[313760105000255]	302
	L[313760105000255]	302
M[313760105000256]	133
	L[313760105000080]	126
	L[313760105000080]*	6
M[313760105000257]	184
	L[313760105000080]	175
	L[313760105000080]*	8
M[313760105000258]	303
	L[313760105000259]	243
	L[313760105000259]*	12
	L[SHC1]	45
	L[SHC1]*	2
M[313760105000259]	423
	L[313760105000259]	406
	L[SHC1]	15
	L[SHC1]*	0
M[313760105000260]	227
	L[313760105000135]	216
	L[313760105000135]*	10
M[313760105000261]	271
	L[313760105000135]	258
	L[313760105000135]*	12
M[313760105000262]	356
	L[313760105000135]	339
	L[313760105000135]*	16
M[313760105000263]	3
	L[313760105000135]	2
	L[313760105000135]*	0
M[313760105000264]	324
	L[313760105000264]	324
M[313760105000265]	329
	L[313760105000201]	247
	L[313760105000201]*	12
	L[SHC1]	49
	L[SHC1]*	2
	L[THC1]	16
	L[THC1]*	0
M[313760105000266]	305
	L[313760105000150]	290
	L[313760105000150]*	14
M[313760105000267]	264
	L[313760105000150]	251
	L[313760105000150]*	12
M[313760105000268]	399
	L[313760105000186]	380
	L[313760105000186]*	19
M[313760105000269]	424
	L[313760105000186]	403
	L[313760105000186]*	20
M[313760105000270]	343
	L[313760105000271]	258
	L[313760105000271]*	12
	L[SHC1]	51
	L[SHC1]*	2
	L[THC1]	17
	L[THC1]*	0
M[313760105000271]	326
	L[313760105000271]	274
	L[SHC1]	48
	L[SHC1]*	2
M[313760105000272]	427
	L[313760105000285]	406
	L[313760105000285]*	20
M[313760105000273]	402
	L[313760105000285]	382
	L[313760105000285]*	19
M[313760105000274]	341
	L[313760105000102]	256
	L[313760105000102]*	12
	L[SHC1]	51
	L[SHC1]*	2
	L[THC1]	17
	L[THC1]*	0
M[313760105000275]	344
	L[313760105000102]	258
	L[313760105000102]*	12
	L[SHC1]	51
	L[SHC1]*	2
	L[THC1]	17
	L[THC1]*	0
M[313760105000276]	486
	L[313760105000259]	389
	L[313760105000259]*	19
	L[SHC1]	72
	L[SHC1]*	3
M[313760105000277]	145
	L[313760105000259]	138
	L[313760105000259]*	6
M[313760105000278]	656
	L[313760105000132]	526
	L[313760105000132]*	26
	L[SHC1]	98
	L[SHC1]*	4
M[313760105000279]	346
	L[313760105000253]	329
	L[313760105000253]*	16
M[313760105000280]	331
	L[313760105000264]	315
	L[313760105000264]*	15
M[313760105000281]	151
	L[313760105000150]	143
	L[313760105000150]*	7
M[313760105000282]	329
	L[313760105000186]	313
